S_1_1	aB	4_1
S_2_1	abcD	6_2
S_2_1	abCD	6_3
S_2_1	abCd	7_6
S_2_1	abCF	7_7
S_2_1	aBcD	8_12
S_2_1	abCDf	8_20
S_2_1	abcDF	8_21
S_2_1	abcdF	9_42
S_2_1	abCDF	9_44
S_2_1	aBcdF	9_45
S_2_1	aaBAcf	9_48
S_2_1	abaCDf	10_132
S_2_1	abcDDF	10_133
S_2_1	aBcdf	10_136
S_2_1	abCdF	10_137
S_2_1	abbCDf	10_140
S_2_1	aabAcf	10_145
S_2_1	aBcdFF	11n1
S_2_1	abCDCF	11n12
S_2_1	abCDFF	11n28
S_2_1	abacdF	11n38
S_2_1	abbcdF	11n49
S_2_1	aaBACBaadf	11n74
S_2_1	aBBcdF	11n91
S_2_1	aabACf	11n102
S_2_1	aBcBdF	11n113
S_2_1	abAbcdF	11n116
S_2_1	aaBAcDf	11n142
S_2_1	abCddF	12n0013
S_2_1	aBacdf	12n0025
S_2_1	abcDDDF	12n0079
S_2_1	aabaCDf	12n0121
S_2_1	abbCdF	12n0145
S_2_1	abaCdF	12n0282
S_2_1	aaBAcBdF	12n0462
S_2_1	abbbCDf	12n0582
S_2_1	aabbcBAf	12n0642
S_2_1	aabacBAdCF	12n0838
S_3_1	abcdeF	8_2
S_3_1	abcdeH	8_5
S_3_1	abcdEF	8_7
S_3_1	abcDEF	8_9
S_3_1	abcDEh	8_10
S_3_1	abcBdCeH	8_16
S_3_1	abcbDCEH	8_17
S_3_1	abAcBdEDCHcd	8_18
S_3_1	abcdEf	9_11
S_3_1	aBCDEf	9_17
S_3_1	abcDef	9_20
S_3_1	abcdEH	9_22
S_3_1	abcDEH	9_24
S_3_1	abcDEf	9_26
S_3_1	abCDEf	9_27
S_3_1	abCdeH	9_28
S_3_1	abAbCDEH	9_29
S_3_1	abCDeH	9_30
S_3_1	abCDef	9_31
S_3_1	abcbDCeH	9_32
S_3_1	abcBdCEH	9_33
S_3_1	aabAcBeHCD	9_34
S_3_1	abcDeh	9_36
S_3_1	abacbHCBDCed	9_40
S_3_1	abcdEh	9_43
S_3_1	aabAcBEHCD	9_47
S_3_1	abcDeF	10_29
S_3_1	aBcdeF	10_41
S_3_1	abCDeF	10_42
S_3_1	abCdEF	10_43
S_3_1	abCdeF	10_44
S_3_1	aBCdeF	10_45
S_3_1	aBcdEh	10_59
S_3_1	aBCDeh	10_60
S_3_1	abAbCDef	10_69
S_3_1	abcDeH	10_70
S_3_1	abCdEH	10_71
S_3_1	abCDeh	10_73
S_3_1	abAbCDEf	10_75
S_3_1	abCdeh	10_78
S_3_1	abcBDcEH	10_81
S_3_1	abCBdcEH	10_88
S_3_1	abCBehcD	10_89
S_3_1	abAbCDeH	10_96
S_3_1	abcBeHCd	10_105
S_3_1	abcBDCEh	10_107
S_3_1	abcDehCD	10_110
S_3_1	abAcbdEDcHCD	10_115
S_3_1	abcdEGh	10_125
S_3_1	abcDEGh	10_126
S_3_1	abcdeGH	10_127
S_3_1	aBCDeH	10_138
S_3_1	abcBdehCDEG	10_141
S_3_1	abcbdcEDCGH	10_143
S_3_1	abcBEGhcD	10_148
S_3_1	abcBdceGH	10_149
S_3_1	abcbdCeH	10_150
S_3_1	abcBDCEH	10_151
S_3_1	abcBEGhcd	10_153
S_3_1	abcBehcd	10_154
S_3_1	abcbDCEGh	10_155
